topic_slug,alias_name,language,alias_type,match_policy,priority,note
python,파이썬,ko,synonym,contains,P0,샘플 데이터 다수 등장
python,Python Programming,en,english,normalized_exact,P1,
python,파이썬 프로그래밍,ko,variant,contains,P0,
python,Python 기초,mixed,variant,contains,P1,
javascript,자바스크립트,ko,synonym,contains,P1,
javascript,JS,en,abbreviation,exact,P1,
java,자바,ko,synonym,contains,P1,
java, 자바 프로그래밍, ko, variant, contains,P1,
java, Java 프로그래밍, mixed, variant, contains, P1,
c-language,C,en,abbreviation,exact,P0,C++와 혼동 주의
c-language,C Programming,en,english,normalized_exact,P0,
c-language,C 프로그래밍,mixed,variant,contains,P0,
c-language,Language-C,en,source_title,normalized_exact,P0,샘플 데이터 등장
c-language,C언어,ko,variant,contains,P0,
c-language,C/C++프로그래밍기초,mixed,source_title,contains,P0,C++는 별도 Topic 생성하지 않음
programming-basic-syntax,프로그래밍개론,ko,source_title,contains,P0,샘플 데이터 등장
programming-basic-syntax,프로그래밍 기초,ko,variant,contains,P0,
programming-basic-syntax,컴퓨터 프로그래밍,ko,variant,contains,P0,
programming-basic-syntax,코딩 기초,ko,variant,contains,P0,
programming-basic-syntax,프로그래밍 문법,ko,variant,contains,P0,
oop,객체지향,ko,variant,contains,P0,
oop,OOP,en,abbreviation,exact,P0,
oop,Object-Oriented Programming,en,english,normalized_exact,P1,
oop,객체지향 프로그래밍,ko,variant,contains,P0,
problem-solving-coding-basics,컴퓨팅적 사고,ko,synonym,contains,P0,샘플 데이터 등장
problem-solving-coding-basics,Computational Thinking,en,english,normalized_exact,P1,
problem-solving-coding-basics,문제 해결 능력,ko,variant,contains,P0,
problem-solving-coding-basics,문제해결,ko,variant,contains,P1
data-structures,자료구조론,ko,variant,contains,P0,
data-structures,Data Structure,en,english,normalized_exact,P0,
data-structures,Data Structures,en,english,normalized_exact,P0,
data-structures,자료 구조,ko,variant,contains,P1,
algorithms,Algorithm,en,english,normalized_exact,P0,
algorithms,Algorithms,en,english,normalized_exact,P0,
algorithms,알고리즘 기초,ko,variant,contains,P1,
operating-systems,OS,en,abbreviation,exact,P1,
operating-systems,Operating System,en,english,normalized_exact,P1,
operating-systems,운영체제론,ko,variant,contains,P1,
networks,컴퓨터네트워크,ko,source_title,contains,P0,샘플 데이터 등장
networks,컴퓨터 네트워크,ko,variant,contains,P0,
networks,Computer Network,en,english,normalized_exact,P0,
networks,Computer Networking,en,english,normalized_exact,P1,
networks,네트워크 기술,ko,variant,contains,P1,
computer-architecture,Computer Architecture,en,english,normalized_exact,P1,
computer-architecture,컴퓨터 아키텍처,ko,variant,contains,P1,
computer-architecture,컴퓨터 구조,ko,variant,contains,P1,
system-programming-basics,System Programming,en,english,normalized_exact,P1,
system-programming-basics,시스템 프로그래밍,ko,variant,contains,P1
software-design,Software Design,en,english,normalized_exact,P1,
software-design,소프트웨어 아키텍처,ko,variant,contains,P1,
object-oriented-design,OO Design,en,abbreviation,normalized_exact,P1,
object-oriented-design,Object-Oriented Design,en,english,normalized_exact,P1,
object-oriented-design,객체지향 설계 원칙,ko,variant,contains,P1,
design-patterns,Design Pattern,en,english,normalized_exact,P1,
design-patterns,Design Patterns,en,english,normalized_exact,P1,
requirements-analysis,요구사항 정의,ko,variant,contains,P1,
requirements-analysis,Requirements Analysis,en,english,normalized_exact,P1,
testing,Software Testing,en,english,normalized_exact,P1,
testing,테스팅,ko,variant,contains,P1,
testing,단위 테스트,ko,variant,contains,P1,
api-design,API Design,en,english,normalized_exact,P1,
api-design,API 문서화,ko,variant,contains,P1,
code-quality-refactoring,리팩토링,ko,variant,contains,P1,
code-quality-refactoring,Refactoring,en,english,normalized_exact,P1,
code-quality-refactoring,코드 품질,ko,variant,contains,P1,
project-structuring,프로젝트 구조,ko,variant,contains,P1,
project-structuring,Project Structure,en,english,normalized_exact,P1
html-css,HTML,en,abbreviation,exact,P1,
html-css,CSS,en,abbreviation,exact,P1,
html-css,HTML CSS,en,variant,normalized_exact,P1,
html-css,웹 퍼블리싱,ko,variant,contains,P2,
javascript-web-basics,DOM,en,abbreviation,exact,P1,
javascript-web-basics,브라우저 API,ko,variant,contains,P1,
javascript-web-basics,JavaScript 웹,mixed,variant,contains,P1,
frontend-development,프론트엔드,ko,variant,contains,P1,
frontend-development,프론트앤드,ko,variant,contains,P1,샘플 오탈자 대응
frontend-development,Frontend,en,english,normalized_exact,P1,
frontend-development,Front-end,en,english,normalized_exact,P1,
backend-development,백엔드,ko,variant,contains,P1,
backend-development,백앤드,ko,variant,contains,P1,샘플 오탈자 대응
backend-development,Backend,en,english,normalized_exact,P1,
backend-development,Back-end,en,english,normalized_exact,P1,
rest-api,REST,en,abbreviation,exact,P1,
rest-api,REST API,en,variant,normalized_exact,P1,
