learning_resource_lookup_key,title,topic_lookup_key,topic_name,topic_depth,parent_topic_slug,relevance_score,extraction_method,is_primary,matched_fields,match_types,link_type
0fa44287c0998043,C프로그래밍 고급,array,배열,3,data-structures,0.82,keyword,true,description_body_clean,depth3_candidate,approved_depth3
0fa44287c0998043,C프로그래밍 고급,function,함수,3,programming-basic-syntax,0.82,keyword,false,description_body_clean,depth3_candidate,approved_depth3
14681297019d55cc,컴퓨터과학과 코딩,problem-solving-coding-basics,문제 해결과 코딩 기초,,,0.92,keyword,true,description_body_clean|description_keyword_items|description_keywords_raw,alias,existing_topic
14681297019d55cc,컴퓨터과학과 코딩,python,Python,,,0.87,keyword,false,description_body_clean|description_keyword_items|description_keywords_raw,alias,existing_topic
19562,웨어러블 컴퓨터 디자인,list,리스트,3,data-structures,0.80,keyword,true,description_body_clean,depth3_candidate,approved_depth3
19573,인공지능과문제해결,problem-solving-coding-basics,문제 해결과 코딩 기초,,,0.98,keyword,true,description_body_clean|title_clean,alias,existing_topic
19573,인공지능과문제해결,prompt-engineering,프롬프트 엔지니어링,3,generative-ai,0.80,keyword,false,description_body_clean,depth3_candidate,approved_depth3
19596,생성형 인공지능 입문,embedding,임베딩,3,generative-ai,0.80,keyword,true,description_body_clean,depth3_candidate,approved_depth3
19596,생성형 인공지능 입문,expectation-variance,기댓값과 분산,3,probability-statistics,0.80,keyword,false,description_body_clean,depth3_candidate,approved_depth3
19596,생성형 인공지능 입문,neural-network,신경망,3,deep-learning,0.80,keyword,false,description_body_clean,depth3_candidate,approved_depth3
19596,생성형 인공지능 입문,recursion,재귀,3,algorithms,0.80,keyword,false,description_body_clean,depth3_candidate,approved_depth3
19596,생성형 인공지능 입문,transformer,Transformer,3,deep-learning,0.80,keyword,false,description_body_clean,depth3_candidate,approved_depth3
19597,모두를 위한 머신러닝,machine-learning,머신러닝,,,1.00,keyword,true,description_body_clean|title_clean,topic_name,existing_topic
19597,모두를 위한 머신러닝,backpropagation,역전파,3,deep-learning,0.80,keyword,false,description_body_clean,depth3_candidate,approved_depth3
19597,모두를 위한 머신러닝,classification,분류,3,machine-learning,0.80,keyword,false,description_body_clean,depth3_candidate,approved_depth3
19597,모두를 위한 머신러닝,overfitting,과적합,3,machine-learning,0.80,keyword,false,description_body_clean,depth3_candidate,approved_depth3
19597,모두를 위한 머신러닝,supervised-learning,지도학습,3,machine-learning,0.80,keyword,false,description_body_clean,depth3_candidate,approved_depth3
19597,모두를 위한 머신러닝,unsupervised-learning,비지도학습,3,machine-learning,0.80,keyword,false,description_body_clean,depth3_candidate,approved_depth3
19597,모두를 위한 머신러닝,vector,벡터,3,linear-algebra,0.80,keyword,false,description_body_clean,depth3_candidate,approved_depth3
19643,현대 딥러닝 구조의 이해와 응용,deep-learning,딥러닝,,,1.00,keyword,true,description_body_clean|title_clean,topic_name,existing_topic
19643,현대 딥러닝 구조의 이해와 응용,backpropagation,역전파,3,deep-learning,0.80,keyword,false,description_body_clean,depth3_candidate,approved_depth3
19643,현대 딥러닝 구조의 이해와 응용,classification,분류,3,machine-learning,0.80,keyword,false,description_body_clean,depth3_candidate,approved_depth3
19643,현대 딥러닝 구조의 이해와 응용,cnn,CNN,3,deep-learning,0.80,keyword,false,description_body_clean,depth3_candidate,approved_depth3
19643,현대 딥러닝 구조의 이해와 응용,neural-network,신경망,3,deep-learning,0.80,keyword,false,description_body_clean,depth3_candidate,approved_depth3
19643,현대 딥러닝 구조의 이해와 응용,rnn,RNN,3,deep-learning,0.80,keyword,false,description_body_clean,depth3_candidate,approved_depth3
19643,현대 딥러닝 구조의 이해와 응용,transformer,Transformer,3,deep-learning,0.80,keyword,false,description_body_clean,depth3_candidate,approved_depth3
19648,인공지능의 기초 이해,cnn,CNN,3,deep-learning,0.80,keyword,true,description_body_clean,depth3_candidate,approved_depth3
19648,인공지능의 기초 이해,neural-network,신경망,3,deep-learning,0.80,keyword,false,description_body_clean,depth3_candidate,approved_depth3
19648,인공지능의 기초 이해,supervised-learning,지도학습,3,machine-learning,0.80,keyword,false,description_body_clean,depth3_candidate,approved_depth3
19674,데이터의 힘 : 뇌를 닮은 알고리즘과 딥러닝 탐험,algorithms,알고리즘,,,1.00,keyword,true,description_body_clean|title_clean,topic_name,existing_topic
19674,데이터의 힘 : 뇌를 닮은 알고리즘과 딥러닝 탐험,deep-learning,딥러닝,,,1.00,keyword,false,description_body_clean|title_clean,topic_name,existing_topic
19674,데이터의 힘 : 뇌를 닮은 알고리즘과 딥러닝 탐험,neural-network,신경망,3,deep-learning,0.80,keyword,false,description_body_clean,depth3_candidate,approved_depth3
19675,AI와의 첫 만남 : 생성형 인공지능으로 보는 미래,neural-network,신경망,3,deep-learning,0.80,keyword,true,description_body_clean,depth3_candidate,approved_depth3
19726,AI 기계학습,machine-learning,머신러닝,,,0.98,keyword,true,description_body_clean|title_clean,alias,existing_topic
19726,AI 기계학습,classification,분류,3,machine-learning,0.80,keyword,false,description_body_clean,depth3_candidate,approved_depth3
19726,AI 기계학습,regression,회귀,3,machine-learning,0.80,keyword,false,description_body_clean,depth3_candidate,approved_depth3
19727,AI기반 빅데이터 분석을 통한 지역 재생 정보 활용,array,배열,3,data-structures,0.80,keyword,true,description_body_clean,depth3_candidate,approved_depth3
19728,AI 알고리즘,algorithms,알고리즘,,,1.00,keyword,true,description_body_clean|title_clean,topic_name,existing_topic
19728,AI 알고리즘,backpropagation,역전파,3,deep-learning,0.80,keyword,false,description_body_clean,depth3_candidate,approved_depth3
19728,AI 알고리즘,function,함수,3,programming-basic-syntax,0.80,keyword,false,description_body_clean,depth3_candidate,approved_depth3
19728,AI 알고리즘,gradient-descent,경사하강법,3,optimization,0.80,keyword,false,description_body_clean,depth3_candidate,approved_depth3
19728,AI 알고리즘,greedy-algorithm,그리디 알고리즘,3,algorithms,0.80,keyword,false,description_body_clean,depth3_candidate,approved_depth3
19728,AI 알고리즘,searching,탐색,3,algorithms,0.80,keyword,false,description_body_clean,depth3_candidate,approved_depth3
19749,산업응용을 위한 인공지능,classification,분류,3,machine-learning,0.80,keyword,true,description_body_clean,depth3_candidate,approved_depth3
19749,산업응용을 위한 인공지능,cnn,CNN,3,deep-learning,0.80,keyword,false,description_body_clean,depth3_candidate,approved_depth3
19749,산업응용을 위한 인공지능,neural-network,신경망,3,deep-learning,0.80,keyword,false,description_body_clean,depth3_candidate,approved_depth3
19749,산업응용을 위한 인공지능,rnn,RNN,3,deep-learning,0.80,keyword,false,description_body_clean,depth3_candidate,approved_depth3
19749,산업응용을 위한 인공지능,vector,벡터,3,linear-algebra,0.80,keyword,false,description_body_clean,depth3_candidate,approved_depth3
19750,설명 가능한 인공지능,cnn,CNN,3,deep-learning,0.80,keyword,true,description_body_clean,depth3_candidate,approved_depth3
19750,설명 가능한 인공지능,neural-network,신경망,3,deep-learning,0.80,keyword,false,description_body_clean,depth3_candidate,approved_depth3
19750,설명 가능한 인공지능,rnn,RNN,3,deep-learning,0.80,keyword,false,description_body_clean,depth3_candidate,approved_depth3
19750,설명 가능한 인공지능,tree,트리,3,data-structures,0.80,keyword,false,description_body_clean,depth3_candidate,approved_depth3
19773,고급 파이썬과 데이터 분석,python,Python,,,0.93,keyword,true,description_body_clean|title_clean,alias,existing_topic
19812,컴퓨터 네트워크,networks,네트워크,,,1.00,keyword,true,description_body_clean|title_clean,alias|topic_name,existing_topic
19812,컴퓨터 네트워크,protocol,프로토콜,3,networks,0.80,keyword,false,description_body_clean,depth3_candidate,approved_depth3
19900,AI 프롬프트로 여는 메타버스 콘텐츠 기획,prompt-engineering,프롬프트 엔지니어링,3,generative-ai,0.80,keyword,true,description_body_clean,depth3_candidate,approved_depth3
19919,인공지능을 위한 R과 Python,python,Python,,,1.00,keyword,true,description_body_clean|title_clean,topic_name,existing_topic
19933,소프트웨어적 사유,array,배열,3,data-structures,0.80,keyword,true,description_body_clean,depth3_candidate,approved_depth3
19933,소프트웨어적 사유,list,리스트,3,data-structures,0.80,keyword,false,description_body_clean,depth3_candidate,approved_depth3
19933,소프트웨어적 사유,queue,큐,3,data-structures,0.80,keyword,false,description_body_clean,depth3_candidate,approved_depth3
19933,소프트웨어적 사유,sorting,정렬,3,algorithms,0.80,keyword,false,description_body_clean,depth3_candidate,approved_depth3
19933,소프트웨어적 사유,stack,스택,3,data-structures,0.80,keyword,false,description_body_clean,depth3_candidate,approved_depth3
19933,소프트웨어적 사유,tree,트리,3,data-structures,0.80,keyword,false,description_body_clean,depth3_candidate,approved_depth3
19938,파이썬과 데이터마이닝,python,Python,,,0.93,keyword,true,description_body_clean|title_clean,alias|topic_name,existing_topic
19938,파이썬과 데이터마이닝,clustering,클러스터링,3,machine-learning,0.80,keyword,false,description_body_clean,depth3_candidate,approved_depth3
19938,파이썬과 데이터마이닝,conditional-statement,조건문,3,programming-basic-syntax,0.80,keyword,false,description_body_clean,depth3_candidate,approved_depth3
19938,파이썬과 데이터마이닝,list,리스트,3,data-structures,0.80,keyword,false,description_body_clean,depth3_candidate,approved_depth3
19938,파이썬과 데이터마이닝,loop,반복문,3,programming-basic-syntax,0.80,keyword,false,description_body_clean,depth3_candidate,approved_depth3
19939,인공지능을 위한 기계학습 입문,machine-learning,머신러닝,,,0.98,keyword,true,description_body_clean|title_clean,alias,existing_topic
19939,인공지능을 위한 기계학습 입문,array,배열,3,data-structures,0.80,keyword,false,description_body_clean,depth3_candidate,approved_depth3
19939,인공지능을 위한 기계학습 입문,embedding,임베딩,3,generative-ai,0.80,keyword,false,description_body_clean,depth3_candidate,approved_depth3
19939,인공지능을 위한 기계학습 입문,matrix,행렬,3,linear-algebra,0.80,keyword,false,description_body_clean,depth3_candidate,approved_depth3
19939,인공지능을 위한 기계학습 입문,transformer,Transformer,3,deep-learning,0.80,keyword,false,description_body_clean,depth3_candidate,approved_depth3
19939,인공지능을 위한 기계학습 입문,vector,벡터,3,linear-algebra,0.80,keyword,false,description_body_clean,depth3_candidate,approved_depth3
1e797f4b8f771ccd,프로그래밍기초,python,Python,,,0.85,keyword,true,description_keyword_items|description_keywords_raw,alias,existing_topic
1ef4460a52a60e13,개발자를 위한 운영체제,operating-systems,운영체제,,,1.00,keyword,true,description_body_clean|description_keyword_items|description_keywords_raw|title_clean,topic_name,existing_topic
20f326d326f32a81,C 프로그래밍,c-language,C언어,,,1.00,keyword,true,description_body_clean|description_keyword_items|description_keywords_raw|title_clean,alias,existing_topic
25225b6d979371ab,설계패턴,oop,객체지향 프로그래밍,,,0.92,keyword,true,description_body_clean|description_keyword_items|description_keywords_raw,alias,existing_topic
257a39fba165829b,대형언어모델의 기초,transformer,Transformer,3,deep-learning,0.95,keyword,true,description_body_clean|description_keyword_items|description_keywords_raw,depth3_candidate,approved_depth3
2aad794cb56604e0,알고리즘,algorithms,알고리즘,,,1.00,keyword,true,description_body_clean|description_keyword_items|description_keywords_raw|title_clean,topic_name,existing_topic
2aad794cb56604e0,알고리즘,c-language,C언어,,,0.92,keyword,false,description_body_clean|description_keyword_items|description_keywords_raw,alias|topic_name,existing_topic
2d9dab730469959b,데이터베이스 실무,query,쿼리,3,sql,0.93,keyword,true,description_keyword_items|description_keywords_raw,depth3_candidate,approved_depth3
