topic_slug,parent_topic_slug,name,depth,topic_type,is_learning_unit,is_assessable,description,is_active,source
ai-ethics,artificial-intelligence,AI 윤리,2,subject,false,true,,true,seed
algorithms,computer-science-basics,알고리즘,2,subject,false,true,,true,seed
api-design,software-engineering,API 설계,2,subject,false,true,,true,seed
array,data-structures,배열,3,concept,true,true,프로그래밍/자료구조 기초 개념으로 승인,true,review
artificial-intelligence,,인공지능,1,domain,false,false,,true,seed
authentication-authorization,web-development,인증과 인가,2,subject,false,true,,true,seed
backend-development,web-development,백엔드 개발,2,subject,false,true,,true,seed
backpropagation,deep-learning,역전파,3,concept,true,true,딥러닝 학습 알고리즘 핵심 개념으로 승인,true,review
c-language,programming,C언어,2,subject,false,true,C++는 표준 Topic으로 추가하지 않음,true,seed
calculus,math-statistics,미적분,2,subject,false,true,,true,seed
ci-cd,devtools-devops,CI/CD,2,subject,false,true,특수문자 예외 허용,true,seed
classification,machine-learning,분류,3,concept,true,true,머신러닝 관련 source가 반복되어 지도학습 세부 개념으로 승인,true,review
cli,devtools-devops,CLI,2,subject,false,true,,true,seed
cloud-basics,devtools-devops,클라우드 기초,2,subject,false,true,클라우드 컴퓨팅은 alias 처리,true,seed
clustering,machine-learning,클러스터링,3,concept,true,true,머신러닝 비지도학습 세부 개념으로 승인,true,review
cnn,deep-learning,CNN,3,concept,true,true,딥러닝 대표 구조로 승인,true,review
code-quality-refactoring,software-engineering,코드 품질과 리팩토링,2,subject,false,true,,true,seed
code-review,devtools-devops,코드 리뷰,2,subject,false,true,,true,seed
collaboration-workflow,devtools-devops,협업 워크플로우,2,subject,false,true,,true,seed
computer-architecture,computer-science-basics,컴퓨터구조,2,subject,false,true,,true,seed
computer-science-basics,,컴퓨터공학 기초,1,domain,false,false,MVP 핵심 대분류,true,seed
computer-vision,artificial-intelligence,컴퓨터 비전,2,subject,false,true,띄어쓰기 표준,true,seed
conditional-statement,programming-basic-syntax,조건문,3,concept,true,true,프로그래밍 기본 문법 개념으로 승인,true,review
data-analysis,,데이터 분석,1,domain,false,false,,true,seed
data-analysis-project,data-analysis,데이터 분석 프로젝트,2,subject,false,true,,true,seed
data-collection,data-analysis,데이터 수집,2,subject,false,true,,true,seed
