candidate_name,suggested_parent_slug,suggested_depth,occurrence_count,course_occurrence_count,resource_occurrence_count,max_relevance_score,avg_relevance_score,matched_source_titles,matched_fields,match_types,decision,merge_target_topic_slug,reviewer_note
변수,programming-basic-syntax,3,40,34,6,0.9500,0.8170,확률과정 | 통신이론 | 공학수학 1 | 회로해석론1 | 공학수학1,learning_objective_clean|prerequisite_material_clean|course_name_clean|description_body_clean|description_keyword_items|description_keywords_raw,depth3_candidate,pending,,
벡터,linear-algebra,3,32,27,5,0.9500,0.8059,공학수학 2 | 선형대수 | 공학수학1 | 공학수학2 | 선형대수학,learning_objective_clean|prerequisite_material_clean|description_body_clean|description_keyword_items|description_keywords_raw,depth3_candidate,pending,,
입출력,programming-basic-syntax,3,31,26,5,0.9300,0.8084,임베디드시스템설계실험 | 신호및시스템 | 운영체제 | 시스템프로그래밍 | 제어계측프로그래밍2,learning_objective_clean|description_body_clean|description_keyword_items|description_keywords_raw,depth3_candidate,pending,,
행렬,linear-algebra,3,30,28,2,0.9500,0.7980,선형대수 | 공학수학1 | 선형대수학 | 로봇공학 | 디지털시스템설계,learning_objective_clean|prerequisite_material_clean|description_body_clean|description_keyword_items|description_keywords_raw,depth3_candidate,pending,,
회귀,machine-learning,3,27,22,5,0.9500,0.7756,데이터마이닝 및 실험 | 빅데이터분석 및 실험 | 경영빅데이터분석개론 | 기계학습 | 심리데이터분석,prerequisite_material_clean|learning_objective_clean|description_body_clean|description_keyword_items|description_keywords_raw,depth3_candidate,pending,,
트리,data-structures,3,27,24,3,0.9300,0.8048,이산수학 | 자료구조 | 자료구조응용 | 자료구조의 기초 | 알고리즘,learning_objective_clean|description_body_clean|description_keyword_items|description_keywords_raw,depth3_candidate,pending,,
프로토콜,networks,3,26,22,4,0.9500,0.8177,이동통신 | 데이타통신 | 컴퓨터네트워크 | 사이버보안관제 | 데이터통신,learning_objective_clean|prerequisite_material_clean|description_body_clean|description_keyword_items|description_keywords_raw|title_clean,depth3_candidate,pending,,
리스트,data-structures,3,26,21,5,0.9300,0.8000,자료구조 | 자료구조응용 | 컴퓨터및프로그래밍입문 | 자료구조의 기초 | 무역 빅데이터분석 심화,learning_objective_clean|prerequisite_material_clean|description_body_clean|description_keyword_items|description_keywords_raw,depth3_candidate,pending,,
신경망,deep-learning,3,23,15,8,0.9800,0.8078,데이터마이닝 | 인공지능 | 인공지능개론 | 머신러닝 | 딥러닝,learning_objective_clean|description_body_clean|description_keyword_items|description_keywords_raw|title_clean,depth3_candidate,pending,,
스택,data-structures,3,20,17,3,1.0000,0.8035,자료구조 | 자료구조응용 | 자료구조의 기초 | 소프트웨어적 사유 | 풀스택(Full-stack) 웹개발 프로젝트,learning_objective_clean|prerequisite_material_clean|description_body_clean|description_keyword_items|description_keywords_raw|title_clean,depth3_candidate,pending,,
정렬,algorithms,3,20,17,3,0.9300,0.8000,자료구조 | 자료구조응용 | 컴퓨팅사고와 SW코딩 | 알고리즘 | 알고리즘개론,learning_objective_clean|prerequisite_material_clean|description_body_clean|description_keyword_items|description_keywords_raw,depth3_candidate,pending,,
큐,data-structures,3,20,17,3,0.9300,0.8075,자료구조 | 자료구조응용 | 자료구조의 기초 | 데이터베이스론 | 소프트웨어적 사유,learning_objective_clean|description_body_clean|description_keyword_items|description_keywords_raw,depth3_candidate,pending,,
분류,machine-learning,3,20,13,7,0.9300,0.8075,컴퓨터비전 | 데이터마이닝 | 경영빅데이터분석개론 | 데이터분석모형과활용 | 기계학습,learning_objective_clean|description_body_clean|description_keyword_items|description_keywords_raw,depth3_candidate,pending,,
인터넷,networks,3,18,14,4,0.9500,0.8206,네트워크프로그래밍 | 정보보안실습 | 컴퓨터네트워크 | 네트워크사회와빅데이터저널리즘 | 차세대 네트워크,learning_objective_clean|course_name_clean|description_body_clean|description_keyword_items|description_keywords_raw|title_clean,depth3_candidate,pending,,
배열,data-structures,3,17,10,7,0.9300,0.8176,C프로그래밍 | C프로그래밍실습 | 자료구조 | 컴퓨터프로그래밍 | 고급컴퓨터프로그래밍,learning_objective_clean|description_body_clean|description_keyword_items|description_keywords_raw,depth3_candidate,pending,,
함수,programming-basic-syntax,3,16,10,6,0.9500,0.8269,C프로그래밍과실습 | 제어계측프로그래밍2 | C프로그래밍 | C프로그래밍실습 | 컴퓨터및프로그래밍입문,learning_objective_clean|prerequisite_material_clean|description_body_clean|description_keyword_items|description_keywords_raw,depth3_candidate,pending,,
탐색,algorithms,3,12,9,3,0.8200,0.8033,자료구조 | 컴퓨팅사고와 SW코딩 | 컴퓨터및프로그래밍입문 | 인공지능 | 알고리즘,learning_objective_clean|description_body_clean,depth3_candidate,pending,,
그래프 자료구조,data-structures,3,12,10,2,0.8200,0.8033,이산수학 | 컴퓨터알고리즘 | 이산수학(II) | 알고리즘의 기초 | 알고리즘개론,learning_objective_clean|description_body_clean,depth3_candidate,pending,,
