source_row_number,year,university_name,college_name,department_name,course_name,grade,semester,credit,lecture_hours,practice_hours,course_type,learning_objective,main_textbook,sub_textbook,reference_material,prerequisite_material,target_department_match,target_course_match,foundational_course_match,strong_ai_cs_course_match,excluded_department_match,final_target_keep,keep_reason
3337,2022,강원대학교,IT대학,전기전자공학과,컴퓨터프로그래밍,전학년,1학기,3,2,2,학문기초,,교재와 강의게시판은 추후공지,,,,True,True,False,False,False,True,target_department_and_target_course
3345,2022,강원대학교,IT대학,전기전자공학과,회로이론,1,2학기,3,3,0,전공선택,,회로이론; 박병국 외 3인 공역 (F.T. Ulaby 외 공저); 한빛아카데미,,,"1. 미분, 적분의 기초 지식2. 행렬식의 계산3. 연립방정식 풀이",True,True,False,False,False,True,target_department_and_target_course
3349,2022,강원대학교,IT대학,전기전자공학과,논리회로,1,1학기,3,3,0,전공선택,,"제목: 디지털논리회로(개정3판)출판사:한빛아카데미저자: 임석구, 홍경호",,,없음,True,True,False,False,False,True,target_department_and_target_course
3351,2022,강원대학교,IT대학,전기전자공학과,디지털회로실험,1,2학기,3,2,2,전공필수,,홈페이지자료,,,논리회로,True,True,True,False,False,True,target_department_and_target_course
3353,2022,강원대학교,IT대학,전기전자공학과,디지털회로실험,1,2학기,3,2,2,전공필수,"전기 전자 분야의 학생들이 기본적으로 필요한 디지털 회로에 대한 기본적인 사항을 실험 실습을 통하여 익히고, 설계 프로젝트를 통하여 응용 기술을 습득한다.","추후 공지, 이루리 사이트에 업로드 함",,,논리회로,True,True,True,False,False,True,target_department_and_target_course
3356,2022,강원대학교,IT대학,전기전자공학과,전자회로,2,1학기,3,3,0,전공선택,1. 반도체 소자의 전기적 특성 이해2. 바이어스 회로의 역할과 소신호 증폭의 개념 이해,"마이크로전자회로; Razavi; 한티미디어, 2015",,"전자회로; 김동식; 생능출판사, 2015","회로이론 (node/mesh 해석, 중첩의 원리, Thevenin 정리, 1차 회로 해석 기법 등)",True,True,False,False,False,True,target_department_and_target_course
3358,2022,강원대학교,IT대학,전기전자공학과,컴퓨터구조,2,2학기,3,3,0,전공선택,,"컴퓨터구조및설계 6판 하드웨어/소프트웨어 인터페이스, 한티미디어 (David Patterson, John Hennessy, ""Computer Organization and Design,"" The Hardware/Software Interface)",,,"논리회로, C언어",True,True,False,True,False,True,target_department_and_target_course
3368,2022,강원대학교,IT대학,전기전자공학과,디지털신호처리,2,2학기,3,3,0,전공선택,신호의 스펙트럼 분석과 디지털 필터 설계의 원리 및 기법을 확실하게 이해하고 익힌다.,"이철희, 디지털 신호 처리 2판, 한빛아카데미, 2022 이철희, 핵심이 보이는 신호 및 시스템, 한빛아카데미, 2015","A. Ambardar, ""Digital Signal Processing : A Modern Introduction"", CENGAGE Learning, 2006 (번역판 : 류철외, 최신디지털 신호 처리, CENGAGE Learning Korea)V. K. Ingle & J. G. Proakis, Digital Signal Processing Using Matlab 2nd ed., 2007, Thomson. H. Hayes, ""Schaum's Outlines Series : Digital signal Processing"", McGraw Hill, 1999J.H. McClellan, R.W. Schafer & M.A. Yoder, DSP FirstA Mlutimedia Approach, PrenticeHall, 1998A.V. Openheim & R.W. Schafer, Discrete Time Signal Processing, Prentice Hall, 1989 P. A. Lynn & W. Fuerst, Introductory Digital Signal Processing with Computer Application, 2nd ed., John wiley & Sons, 1998",,신호 및 시스템,True,True,False,False,False,True,target_department_and_target_course
3376,2022,강원대학교,IT대학,전기전자공학과,마이크로프로세서응용및실험,2,1학기,3,2,2,전공필수,,"추후 공지, 이루리 사이트에 업로드 함",,,"논리회로, 프로그래밍 기초 및 실습(C언어 or 파이썬), 디지털회로실험",True,True,True,False,False,True,target_department_and_target_course
3377,2022,강원대학교,IT대학,전기전자공학과,마이크로프로세서응용및실험,2,1학기,3,2,2,전공필수,,"추후 공지, 이루리 사이트에 업로드 함",,,"논리회로, 프로그래밍 기초 및 실습(C언어 or 파이썬), 디지털회로실험",True,True,True,False,False,True,target_department_and_target_course
