source_dataset,source_id,source_row_index,source_title,source_field,matched_text,matched_value,match_type,match_policy,topic_slug,topic_name,topic_depth,parent_slug,alias_name,candidate_name,suggested_parent_slug,suggested_depth,base_score,adjustment_score,final_score,relation_hint,is_existing_topic,needs_review,priority
course,552,0,빅데이터자료분석및실습,prerequisite_material_clean,"기초통계학, 통계프로그래밍언어R 초급",프로그래밍,topic_name,contains,programming,프로그래밍,1,,,,,,0.68,0.0,0.68,prerequisite,true,false,P0
course,552,0,빅데이터자료분석및실습,prerequisite_material_clean,"기초통계학, 통계프로그래밍언어R 초급",통계학,alias,contains,probability-statistics,확률과 통계,2,math-statistics,통계학,,,,0.65,-0.05,0.6,prerequisite,true,false,P1
course,552,0,빅데이터자료분석및실습,main_textbook_clean,"임동훈, 빅데이터 분석 그것이 R고싶다",데이터 분석,topic_name,contains,data-analysis,데이터 분석,1,,,,,,0.5,0.0,0.5,,true,false,P1
course,881,1,인공지능개론,course_name_clean,인공지능개론,인공지능,topic_name,contains,artificial-intelligence,인공지능,1,,,,,,0.95,0.0,0.95,,true,false,P1
course,881,1,인공지능개론,learning_objective_clean,"인공지능 핵심 이론이라 할 수 있는 탐색과 최적화, 지식 표현과 추론, 기계학습, 딥러닝, 계획수립 에 대해서 다루며 인공지능의 주요 응용분야라고 할 수 있는 데이터 마이닝, 자연어 처리, 컴퓨터 비전, 지능 로봇에 대해서 배운다",자연어 처리,topic_name,contains,natural-language-processing,자연어 처리,2,artificial-intelligence,,,,,0.8,0.0,0.8,,true,false,P1
course,881,1,인공지능개론,learning_objective_clean,"인공지능 핵심 이론이라 할 수 있는 탐색과 최적화, 지식 표현과 추론, 기계학습, 딥러닝, 계획수립 에 대해서 다루며 인공지능의 주요 응용분야라고 할 수 있는 데이터 마이닝, 자연어 처리, 컴퓨터 비전, 지능 로봇에 대해서 배운다",컴퓨터 비전,topic_name,contains,computer-vision,컴퓨터 비전,2,artificial-intelligence,,,,,0.8,0.0,0.8,,true,false,P1
course,881,1,인공지능개론,learning_objective_clean,"인공지능 핵심 이론이라 할 수 있는 탐색과 최적화, 지식 표현과 추론, 기계학습, 딥러닝, 계획수립 에 대해서 다루며 인공지능의 주요 응용분야라고 할 수 있는 데이터 마이닝, 자연어 처리, 컴퓨터 비전, 지능 로봇에 대해서 배운다",인공지능,topic_name,contains,artificial-intelligence,인공지능,1,,,,,,0.8,0.0,0.8,,true,false,P1
course,881,1,인공지능개론,learning_objective_clean,"인공지능 핵심 이론이라 할 수 있는 탐색과 최적화, 지식 표현과 추론, 기계학습, 딥러닝, 계획수립 에 대해서 다루며 인공지능의 주요 응용분야라고 할 수 있는 데이터 마이닝, 자연어 처리, 컴퓨터 비전, 지능 로봇에 대해서 배운다",최적화,topic_name,contains,optimization,최적화,2,math-statistics,,,,,0.8,0.0,0.8,,true,false,P1
course,881,1,인공지능개론,learning_objective_clean,"인공지능 핵심 이론이라 할 수 있는 탐색과 최적화, 지식 표현과 추론, 기계학습, 딥러닝, 계획수립 에 대해서 다루며 인공지능의 주요 응용분야라고 할 수 있는 데이터 마이닝, 자연어 처리, 컴퓨터 비전, 지능 로봇에 대해서 배운다",딥러닝,topic_name,contains,deep-learning,딥러닝,2,artificial-intelligence,,,,,0.8,0.0,0.8,,true,false,P1
course,881,1,인공지능개론,learning_objective_clean,"인공지능 핵심 이론이라 할 수 있는 탐색과 최적화, 지식 표현과 추론, 기계학습, 딥러닝, 계획수립 에 대해서 다루며 인공지능의 주요 응용분야라고 할 수 있는 데이터 마이닝, 자연어 처리, 컴퓨터 비전, 지능 로봇에 대해서 배운다",기계학습,alias,contains,machine-learning,머신러닝,2,artificial-intelligence,기계학습,,,,0.75,0.0,0.75,,true,false,P1
course,881,1,인공지능개론,learning_objective_clean,"인공지능 핵심 이론이라 할 수 있는 탐색과 최적화, 지식 표현과 추론, 기계학습, 딥러닝, 계획수립 에 대해서 다루며 인공지능의 주요 응용분야라고 할 수 있는 데이터 마이닝, 자연어 처리, 컴퓨터 비전, 지능 로봇에 대해서 배운다",탐색,depth3_candidate,contains,,,3,,,탐색,algorithms,3,0.8,0.0,0.8,,false,true,P0
course,881,1,인공지능개론,main_textbook_clean,인공지능: 튜링 테스트에서 딥러닝까지 (저자: 이건명; ISBN: 9788970509594),인공지능,topic_name,contains,artificial-intelligence,인공지능,1,,,,,,0.5,0.0,0.5,,true,false,P1
course,881,1,인공지능개론,main_textbook_clean,인공지능: 튜링 테스트에서 딥러닝까지 (저자: 이건명; ISBN: 9788970509594),테스트,topic_name,contains,testing,테스트,2,software-engineering,,,,,0.5,0.0,0.5,,true,false,P1
course,881,1,인공지능개론,main_textbook_clean,인공지능: 튜링 테스트에서 딥러닝까지 (저자: 이건명; ISBN: 9788970509594),딥러닝,topic_name,contains,deep-learning,딥러닝,2,artificial-intelligence,,,,,0.5,0.0,0.5,,true,false,P1
course,923,2,풀사료자원과빅데이터,learning_objective_clean,"축산중 풀사료 big data를 이용한 이론적 실제를 배우고, 통계학, IT, 풀사료, 토양 및 기후 전문가와 공동으로 수량예측 등을 하며 이에 필요한 각종 프로그램을 구성해 봄",통계학,alias,contains,probability-statistics,확률과 통계,2,math-statistics,통계학,,,,0.75,-0.05,0.7,,true,false,P1
