topic_lookup_key,alias_name,source,language,alias_type,match_policy,priority,note
python,파이썬,seed,ko,synonym,contains,P0,샘플 데이터 다수 등장
python,Python Programming,seed,en,english,normalized_exact,P1,
python,파이썬 프로그래밍,seed,ko,variant,contains,P0,
python,Python 기초,seed,mixed,variant,contains,P1,
javascript,자바스크립트,seed,ko,synonym,contains,P1,
javascript,JS,seed,en,abbreviation,exact,P1,
java,자바,seed,ko,synonym,contains,P1,
java,자바 프로그래밍,seed,ko,variant,contains,P1,
java,Java 프로그래밍,seed,mixed,variant,contains,P1,
c-language,C,seed,en,abbreviation,exact,P0,C++와 혼동 주의
c-language,C Programming,seed,en,english,normalized_exact,P0,
c-language,C 프로그래밍,seed,mixed,variant,contains,P0,
c-language,Language-C,seed,en,source_title,normalized_exact,P0,샘플 데이터 등장
c-language,C언어,seed,ko,variant,contains,P0,
c-language,C/C++프로그래밍기초,seed,mixed,source_title,contains,P0,C++는 별도 Topic 생성하지 않음
programming-basic-syntax,프로그래밍개론,seed,ko,source_title,contains,P0,샘플 데이터 등장
programming-basic-syntax,프로그래밍 기초,seed,ko,variant,contains,P0,
programming-basic-syntax,컴퓨터 프로그래밍,seed,ko,variant,contains,P0,
programming-basic-syntax,코딩 기초,seed,ko,variant,contains,P0,
programming-basic-syntax,프로그래밍 문법,seed,ko,variant,contains,P0,
oop,객체지향,seed,ko,variant,contains,P0,
oop,OOP,seed,en,abbreviation,exact,P0,
oop,Object-Oriented Programming,seed,en,english,normalized_exact,P1,
oop,객체지향 프로그래밍,seed,ko,variant,contains,P0,
problem-solving-coding-basics,컴퓨팅적 사고,seed,ko,synonym,contains,P0,샘플 데이터 등장
problem-solving-coding-basics,Computational Thinking,seed,en,english,normalized_exact,P1,
problem-solving-coding-basics,문제 해결 능력,seed,ko,variant,contains,P0,
problem-solving-coding-basics,문제해결,seed,ko,variant,contains,P1,
data-structures,자료구조론,seed,ko,variant,contains,P0,
data-structures,Data Structure,seed,en,english,normalized_exact,P0,
data-structures,Data Structures,seed,en,english,normalized_exact,P0,
data-structures,자료 구조,seed,ko,variant,contains,P1,
algorithms,Algorithm,seed,en,english,normalized_exact,P0,
algorithms,Algorithms,seed,en,english,normalized_exact,P0,
algorithms,알고리즘 기초,seed,ko,variant,contains,P1,
operating-systems,OS,seed,en,abbreviation,exact,P1,
operating-systems,Operating System,seed,en,english,normalized_exact,P1,
